review_id,app_name,category,wtp_signal_text,wtp_classification,associated_feature,market_region
edaa57bc-7b13-4e1e-9018-ea7f16e8fb57,Astrotalk,astrology,Paisa vasool,positive_wtp,,india
b19e07a6-0c1e-4bff-9faf-3effae976f45,Astrotalk,astrology,waste of money,negative_wtp,,india
ae3a3681-3409-4645-93c1-be2efefcdbf4,Astrotalk,astrology,loot,negative_wtp,,india
836faf41-2079-4efc-91d4-5a7c7804fa9d,Astrotalk,astrology,loot,negative_wtp,,india
7806b538-84e6-48dc-9b55-565361aa0d20,Astrotalk,astrology,waste of money,negative_wtp,,india
14c784b6-c91a-4c2c-98f9-4f679c508a68,Astrotalk,astrology,loot,negative_wtp,pooja,india
ec24a422-7238-4fcb-aa95-f4c1c29f5035,Astrotalk,astrology,waste of money,negative_wtp,,india
a6d9e6f0-b909-408f-b67e-ad51064f18a5,Astrotalk,astrology,scam,negative_wtp,,india
a6d9e6f0-b909-408f-b67e-ad51064f18a5,Astrotalk,astrology,scam,negative_wtp,,india
7e60456c-3bd3-419b-8f25-0010972230a4,Astrotalk,astrology,scam,negative_wtp,,india
e09cbf75-9a95-46e9-8fbf-7fa2239b6e68,Astrotalk,astrology,not worth,negative_wtp,,india
0325d050-61ea-4cb4-a1c3-31ffc9d28d95,Astrotalk,astrology,loot,negative_wtp,,india
a1d6b94d-9cfa-404e-9754-a6234aab0d12,Astrotalk,astrology,scam,negative_wtp,,india
a1d6b94d-9cfa-404e-9754-a6234aab0d12,Astrotalk,astrology,scam,negative_wtp,,india
0dfc4678-dafb-44ec-8de1-6cb000c6fec9,Astrotalk,astrology,not worth,negative_wtp,,india
cfccdb0f-65d9-403a-aaea-f7b59b2707cf,Astrotalk,astrology,scam,negative_wtp,,india
796e0bfd-f4a2-437a-9e27-c37e05d98a36,Astrotalk,astrology,scam,negative_wtp,,india
a09aaa06-d622-4d52-88a3-0fae27a1d320,Astrotalk,astrology,Waste of money,negative_wtp,,india
0df23732-b77c-420b-9b24-f5b9d31b9f74,Astrotalk,astrology,waste of money,negative_wtp,,india
0df23732-b77c-420b-9b24-f5b9d31b9f74,Astrotalk,astrology,scam,negative_wtp,,india
684e054d-8ec5-44c0-8c74-48ce3f55c362,Astrotalk,astrology,scam,negative_wtp,,india
684e054d-8ec5-44c0-8c74-48ce3f55c362,Astrotalk,astrology,scam,negative_wtp,,india
